#     1:pT [GeV]	2:ur	3:Keq 1	4:Keq 2	5:Kshear 1	6:Kshear 2	7:Kshear 3	8:Kshear 4	9:Kbulk 1	10:Kbulk 2
    6.46257e-03	    0.00000e+00	    1.75115e+00	    3.66254e-18	    9.92334e-02	    7.72305e-20	    6.56639e-16	   -2.67570e-22	   -5.97539e-02	    3.16342e-19
    1.93899e-02	    0.00000e+00	    1.73695e+00	    9.27560e-18	    9.84120e-02	    2.80381e-19	   -1.93143e-13	   -5.68767e-21	   -6.71177e-02	    3.43779e-19
    3.23237e-02	    0.00000e+00	    1.70932e+00	    1.59892e-17	    9.68097e-02	    4.92715e-19	    8.51530e-20	   -2.36762e-20	   -8.09548e-02	    7.83377e-19
    4.52683e-02	    0.00000e+00	    1.66969e+00	    2.14620e-17	    9.45015e-02	    5.05782e-19	    1.70306e-19	   -4.72638e-20	   -9.97018e-02	    2.64828e-19
    5.82280e-02	    0.00000e+00	    1.61993e+00	    2.28388e-17	    9.15858e-02	    6.05821e-19	    6.81224e-19	   -1.32762e-19	   -1.21467e-01	    5.12106e-20
    7.12073e-02	    0.00000e+00	    1.56214e+00	    2.96940e-17	    8.81723e-02	    8.65933e-19	    1.44760e-18	   -2.17849e-19	   -1.44379e-01	   -9.29501e-19
    8.42105e-02	    0.00000e+00	    1.49839e+00	    3.66583e-17	    8.43718e-02	    8.01919e-19	    1.02184e-18	   -2.75926e-19	   -1.66836e-01	   -1.08229e-18
    9.72420e-02	    0.00000e+00	    1.43061e+00	    3.85622e-17	    8.02882e-02	    7.08707e-19	    1.70306e-18	   -4.21949e-19	   -1.87639e-01	   -1.57649e-18
    1.10306e-01	    0.00000e+00	    1.36049e+00	    3.10800e-17	    7.60136e-02	    9.73740e-19	    1.53275e-18	   -4.73119e-19	   -2.06003e-01	   -1.86165e-18
    1.23408e-01	    0.00000e+00	    1.28942e+00	    3.03913e-17	    7.16271e-02	    4.83952e-19	    1.02184e-18	   -8.85634e-19	   -2.21508e-01	   -4.76981e-18
    1.36552e-01	    0.00000e+00	    1.21854e+00	    4.37081e-17	    6.71944e-02	    2.35455e-19	    2.72490e-18	   -1.00699e-18	   -2.34015e-01	   -4.13467e-18
    1.49741e-01	    0.00000e+00	    1.14870e+00	    2.34105e-17	    6.27688e-02	    2.91382e-19	    1.70306e-18	   -1.17817e-18	   -2.43582e-01	   -5.44159e-18
    1.62983e-01	    0.00000e+00	    1.08054e+00	    2.08445e-17	    5.83930e-02	    4.65514e-19	    1.36245e-18	   -1.11736e-18	   -2.50390e-01	   -7.22327e-18
    1.76280e-01	    0.00000e+00	    1.01455e+00	    3.01431e-17	    5.41007e-02	    2.94543e-19	    1.36245e-18	   -1.26625e-18	   -2.54693e-01	   -6.54845e-18
    1.89637e-01	    0.00000e+00	    9.51019e-01	    3.58258e-17	    4.99179e-02	    4.68775e-19	    0.00000e+00	   -1.35095e-18	   -2.56770e-01	   -9.15167e-18
    2.03061e-01	    0.00000e+00	    8.90166e-01	    2.96233e-17	    4.58647e-02	   -1.69763e-19	    5.10918e-18	   -1.82622e-18	   -2.56906e-01	   -5.27829e-18
    2.16555e-01	    0.00000e+00	    8.32105e-01	    2.64072e-17	    4.19561e-02	   -2.99260e-19	    5.79041e-18	   -2.02058e-18	   -2.55372e-01	   -7.36862e-18
    2.30125e-01	    0.00000e+00	    7.76881e-01	    2.60933e-17	    3.82033e-02	   -6.30708e-20	    2.72490e-18	   -1.07569e-18	   -2.52423e-01	   -7.91750e-18
    2.43776e-01	    0.00000e+00	    7.24497e-01	    2.92399e-17	    3.46140e-02	   -3.53193e-19	    3.40612e-18	   -2.41428e-18	   -2.48284e-01	   -7.96682e-18
    2.57513e-01	    0.00000e+00	    6.74914e-01	    2.83099e-17	    3.11936e-02	   -4.15402e-19	    3.74673e-18	   -2.02404e-18	   -2.43160e-01	   -9.16288e-18
    2.71342e-01	    0.00000e+00	    6.28071e-01	    2.26936e-17	    2.79452e-02	   -8.71432e-19	    4.76857e-18	   -2.24645e-18	   -2.37228e-01	   -5.72963e-18
    2.85268e-01	    0.00000e+00	    5.83888e-01	    2.46774e-17	    2.48705e-02	   -1.08322e-18	    0.00000e+00	   -2.88558e-18	   -2.30643e-01	   -7.09342e-18
    2.99297e-01	    0.00000e+00	    5.42270e-01	    1.92961e-17	    2.19695e-02	   -1.08585e-18	    5.44979e-18	   -2.16964e-18	   -2.23541e-01	   -6.69846e-18
    3.13435e-01	    0.00000e+00	    5.03118e-01	    1.75799e-17	    1.92411e-02	   -1.21968e-18	    2.72490e-18	   -2.90371e-18	   -2.16039e-01	   -7.54680e-18
    3.27689e-01	    0.00000e+00	    4.66327e-01	    2.31339e-17	    1.66834e-02	   -5.19135e-19	    3.40612e-18	   -1.81208e-18	   -2.08238e-01	   -7.60312e-18
    3.42063e-01	    0.00000e+00	    4.31791e-01	    1.79646e-17	    1.42938e-02	   -1.62838e-18	    5.44979e-18	   -3.03763e-18	   -2.00223e-01	   -1.01919e-17
    3.56565e-01	    0.00000e+00	    3.99404e-01	    1.35642e-17	    1.20688e-02	   -8.53871e-19	    6.13102e-18	   -1.79843e-18	   -1.92070e-01	   -7.14213e-18
    3.71202e-01	    0.00000e+00	    3.69058e-01	    1.81470e-17	    1.00045e-02	   -1.65886e-18	    6.13102e-18	   -3.47126e-18	   -1.83843e-01	   -7.84693e-18
    3.85979e-01	    0.00000e+00	    3.40653e-01	    1.69054e-17	    8.09658e-03	   -1.59358e-18	    2.04367e-18	   -3.15289e-18	   -1.75597e-01	   -6.01821e-18
    4.00905e-01	    0.00000e+00	    3.14087e-01	    1.32903e-17	    6.34030e-03	   -1.46146e-18	    3.40612e-18	   -1.91073e-18	   -1.67379e-01	   -8.27856e-18
    4.15987e-01	    0.00000e+00	    2.89263e-01	    9.99184e-18	    4.73064e-03	   -1.50627e-18	    6.81224e-19	   -2.66504e-18	   -1.59229e-01	   -6.59729e-18
    4.31231e-01	    0.00000e+00	    2.66089e-01	    1.21308e-17	    3.26240e-03	   -1.49140e-18	    1.36245e-18	   -2.59440e-18	   -1.51182e-01	   -8.05864e-18
    4.46646e-01	    0.00000e+00	    2.44473e-01	    8.81187e-18	    1.93004e-03	   -1.22782e-18	    4.76857e-18	   -1.98970e-18	   -1.43269e-01	   -5.25046e-18
    4.62241e-01	    0.00000e+00	    2.24331e-01	    9.35070e-18	    7.27924e-04	   -1.07687e-18	    3.40612e-19	   -2.54694e-18	   -1.35512e-01	   -4.70092e-18
    4.78022e-01	    0.00000e+00	    2.05579e-01	    7.23514e-18	   -3.49668e-04	   -1.53848e-18	    3.40612e-18	   -2.46498e-18	   -1.27934e-01	   -5.61766e-18
    4.94000e-01	    0.00000e+00	    1.88140e-01	    1.07488e-17	   -1.30861e-03	   -1.72778e-18	    2.72490e-18	   -2.46968e-18	   -1.20552e-01	   -5.56944e-18
    5.10184e-01	    0.00000e+00	    1.71938e-01	    6.85614e-18	   -2.15482e-03	   -1.50995e-18	    2.72490e-18	   -2.11524e-18	   -1.13382e-01	   -4.89433e-18
    5.26582e-01	    0.00000e+00	    1.56901e-01	    6.26978e-18	   -2.89426e-03	   -9.98418e-19	    3.40612e-18	   -1.85471e-18	   -1.06434e-01	   -4.14051e-18
    5.43205e-01	    0.00000e+00	    1.42961e-01	    5.22732e-18	   -3.53291e-03	   -1.42466e-18	   -3.40612e-19	   -2.13451e-18	   -9.97199e-02	   -4.32577e-18
    5.60063e-01	    0.00000e+00	    1.30054e-01	    5.68727e-18	   -4.07672e-03	   -1.33823e-18	    3.06551e-18	   -2.14576e-18	   -9.32463e-02	   -3.37728e-18
    5.77167e-01	    0.00000e+00	    1.18117e-01	    5.03739e-18	   -4.53166e-03	   -1.36736e-18	    5.10918e-18	   -2.07636e-18	   -8.70193e-02	   -4.86613e-18
    5.94528e-01	    0.00000e+00	    1.07092e-01	    4.69594e-18	   -4.90359e-03	   -9.32360e-19	    2.04367e-18	   -2.00426e-18	   -8.10435e-02	   -4.00821e-18
    6.12158e-01	    0.00000e+00	    9.69220e-02	    4.17100e-18	   -5.19841e-03	   -1.43029e-18	    3.40612e-18	   -1.70753e-18	   -7.53212e-02	   -2.51735e-18
    6.30069e-01	    0.00000e+00	    8.75549e-02	    4.13537e-18	   -5.42180e-03	   -1.56143e-18	    5.44979e-18	   -2.21548e-18	   -6.98541e-02	   -3.75790e-18
    6.48274e-01	    0.00000e+00	    7.89397e-02	    2.97430e-18	   -5.57944e-03	   -1.52470e-18	    1.02184e-18	   -1.78991e-18	   -6.46424e-02	   -2.85143e-18
    6.66787e-01	    0.00000e+00	    7.10284e-02	    2.97549e-18	   -5.67685e-03	   -1.09906e-18	    2.72490e-18	   -1.67608e-18	   -5.96854e-02	   -2.34520e-18
    6.85622e-01	    0.00000e+00	    6.37750e-02	    2.46547e-18	   -5.71949e-03	   -1.10168e-18	    1.70306e-18	   -1.46084e-18	   -5.49810e-02	   -2.43863e-18
    7.04794e-01	    0.00000e+00	    5.71364e-02	    2.48606e-18	   -5.71259e-03	   -6.45019e-19	    1.36245e-18	   -1.36044e-18	   -5.05267e-02	   -2.44184e-18
    7.24318e-01	    0.00000e+00	    5.10712e-02	    3.21137e-18	   -5.66127e-03	   -1.16491e-18	    2.04367e-18	   -1.44936e-18	   -4.63189e-02	   -2.48967e-18
    7.44211e-01	    0.00000e+00	    4.55403e-02	    2.32322e-18	   -5.57049e-03	   -9.54075e-19	    6.81224e-19	   -1.45903e-18	   -4.23533e-02	   -1.79361e-18
    7.64491e-01	    0.00000e+00	    4.05066e-02	    2.71232e-18	   -5.44499e-03	   -9.08886e-19	    1.02184e-18	   -1.35452e-18	   -3.86252e-02	   -1.91904e-18
    7.85175e-01	    0.00000e+00	    3.59350e-02	    1.70673e-18	   -5.28938e-03	   -8.61325e-19	    1.36245e-18	   -1.27118e-18	   -3.51289e-02	   -2.59007e-18
    8.06284e-01	    0.00000e+00	    3.17920e-02	    1.53737e-18	   -5.10804e-03	   -9.44290e-19	    2.38429e-18	   -1.16738e-18	   -3.18583e-02	   -1.33314e-18
    8.27837e-01	    0.00000e+00	    2.80461e-02	    1.57544e-18	   -4.90512e-03	   -7.36427e-19	    2.04367e-18	   -8.66837e-19	   -2.88070e-02	   -1.34034e-18
    8.49856e-01	    0.00000e+00	    2.46674e-02	    9.33390e-19	   -4.68459e-03	   -9.40711e-19	    8.51530e-19	   -8.44711e-19	   -2.59681e-02	   -1.28414e-18
    8.72365e-01	    0.00000e+00	    2.16275e-02	    1.08643e-18	   -4.45018e-03	   -5.80321e-19	    1.36245e-18	   -9.93902e-19	   -2.33340e-02	   -1.11133e-18
    8.95387e-01	    0.00000e+00	    1.88999e-02	    8.70491e-19	   -4.20538e-03	   -7.30470e-19	    1.70306e-18	   -8.72520e-19	   -2.08973e-02	   -9.47378e-19
    9.18948e-01	    0.00000e+00	    1.64593e-02	    6.41674e-19	   -3.95345e-03	   -6.71345e-19	    1.70306e-19	   -9.06081e-19	   -1.86500e-02	   -1.27600e-18
    9.43076e-01	    0.00000e+00	    1.42820e-02	    5.60211e-19	   -3.69745e-03	   -4.80605e-19	    1.19214e-18	   -7.50106e-19	   -1.65839e-02	   -8.15494e-19
    9.67799e-01	    0.00000e+00	    1.23456e-02	    5.28965e-19	   -3.44011e-03	   -5.93518e-19	    6.81224e-19	   -7.51451e-19	   -1.46907e-02	   -6.26440e-19
    9.93148e-01	    0.00000e+00	    1.06292e-02	    4.30791e-19	   -3.18397e-03	   -3.82606e-19	    1.02184e-18	   -6.97556e-19	   -1.29619e-02	   -6.55151e-19
    1.01916e+00	    0.00000e+00	    9.11300e-03	    2.80967e-19	   -2.93134e-03	   -3.86337e-19	   -8.51530e-20	   -5.50235e-19	   -1.13890e-02	   -6.17746e-19
    1.04586e+00	    0.00000e+00	    7.77864e-03	    2.89889e-19	   -2.68424e-03	   -4.08813e-19	    8.51530e-19	   -4.99779e-19	   -9.96317e-03	   -5.18210e-19
    1.07329e+00	    0.00000e+00	    6.60881e-03	    2.94011e-19	   -2.44445e-03	   -2.45309e-19	    6.81224e-19	   -4.27979e-19	   -8.67590e-03	   -3.71857e-19
    1.10150e+00	    0.00000e+00	    5.58736e-03	    2.57844e-19	   -2.21351e-03	   -3.00361e-19	    1.70306e-19	   -3.69052e-19	   -7.51847e-03	   -4.01006e-19
    1.13052e+00	    0.00000e+00	    4.69943e-03	    3.00782e-19	   -1.99275e-03	   -1.93169e-19	    6.38648e-19	   -2.47667e-19	   -6.48243e-03	   -2.63025e-19
    1.16041e+00	    0.00000e+00	    3.93106e-03	    1.84336e-19	   -1.78324e-03	   -3.01399e-19	   -1.11079e-12	   -3.53851e-19	   -5.55928e-03	   -3.89602e-19
    1.19120e+00	    0.00000e+00	    3.26943e-03	    1.78247e-19	   -1.58584e-03	   -1.82993e-19	    1.70306e-19	   -1.71376e-19	   -4.74078e-03	   -3.37089e-19
    1.22295e+00	    0.00000e+00	    2.70258e-03	    9.62922e-20	   -1.40116e-03	   -1.87784e-19	   -1.40032e-14	   -2.10340e-19	   -4.01871e-03	   -1.26868e-19
    1.25573e+00	    0.00000e+00	    2.21965e-03	    7.10915e-20	   -1.22966e-03	   -1.63588e-19	    3.40612e-19	   -1.69322e-19	   -3.38523e-03	   -1.44530e-19
    1.28959e+00	    0.00000e+00	    1.81057e-03	    9.00220e-20	   -1.07154e-03	   -8.12505e-20	    1.27730e-19	   -1.06712e-19	   -2.83266e-03	   -1.43979e-19
    1.32459e+00	    0.00000e+00	    1.46618e-03	    7.93782e-20	   -9.26845e-04	   -1.20262e-19	    1.49018e-19	   -1.29702e-19	   -2.35355e-03	   -1.31546e-19
    1.36082e+00	    0.00000e+00	    1.17819e-03	    5.69994e-20	   -7.95479e-04	   -7.60549e-20	   -4.87609e-12	   -1.19577e-19	   -1.94088e-03	   -9.99580e-20
    1.39834e+00	    0.00000e+00	    9.39033e-04	    3.55281e-20	   -6.77152e-04	   -7.07491e-20	    2.55459e-19	   -7.65864e-20	   -1.58787e-03	   -7.44545e-20
    1.43724e+00	    0.00000e+00	    7.41918e-04	    3.97483e-20	   -5.71456e-04	   -9.71831e-20	    6.13702e-14	   -9.97773e-20	   -1.28810e-03	   -6.07461e-20
    1.47762e+00	    0.00000e+00	    5.80739e-04	    2.92466e-20	   -4.77848e-04	   -6.56709e-20	    2.94823e-12	   -7.65868e-20	   -1.03552e-03	   -4.92518e-20
    1.51957e+00	    0.00000e+00	    4.50091e-04	    2.32533e-20	   -3.95712e-04	   -4.37665e-20	   -1.57008e-11	   -6.27366e-20	   -8.24488e-04	   -3.74755e-20
    1.56319e+00	    0.00000e+00	    3.45149e-04	    1.60320e-20	   -3.24325e-04	   -3.37553e-20	    7.45089e-20	   -4.94921e-20	   -6.49742e-04	   -3.74970e-20
    1.60862e+00	    0.00000e+00	    2.61687e-04	    1.02639e-20	   -2.62908e-04	   -2.85583e-20	    4.25765e-20	   -2.71937e-20	   -5.06427e-04	   -3.05797e-20
    1.65598e+00	    0.00000e+00	    1.96004e-04	    1.10264e-20	   -2.10630e-04	   -2.88784e-20	    1.26858e-13	   -3.40654e-20	   -3.90089e-04	   -2.45671e-20
    1.70541e+00	    0.00000e+00	    1.44898e-04	    8.75224e-21	   -1.66637e-04	   -2.31946e-20	   -1.68319e-13	   -2.12739e-20	   -2.96689e-04	   -1.47544e-20
    1.75707e+00	    0.00000e+00	    1.05622e-04	    6.72626e-21	   -1.30067e-04	   -1.89752e-20	   -4.18886e-12	   -1.77218e-20	   -2.22598e-04	   -7.45630e-21
    1.81113e+00	    0.00000e+00	    7.58341e-05	    3.95226e-21	   -1.00063e-04	   -1.48292e-20	   -1.17146e-13	   -1.55588e-20	   -1.64575e-04	   -7.84858e-21
    1.86778e+00	    0.00000e+00	    5.35625e-05	    2.72332e-21	   -7.57862e-05	   -7.92346e-21	    1.19746e-20	   -7.54421e-21	   -1.19760e-04	   -4.63364e-21
    1.92723e+00	    0.00000e+00	    3.71685e-05	    1.61634e-21	   -5.64401e-05	   -6.72733e-21	    2.24684e-13	   -7.01592e-21	   -8.56663e-05	   -4.52673e-21
    1.98972e+00	    0.00000e+00	    2.53020e-05	    1.46092e-21	   -4.12721e-05	   -4.64963e-21	    1.33052e-20	   -4.74357e-21	   -6.01491e-05	   -3.29581e-21
    2.05551e+00	    0.00000e+00	    1.68689e-05	    7.83212e-22	   -2.95885e-05	   -2.86496e-21	   -4.70906e-14	   -4.50414e-21	   -4.13874e-05	   -2.33167e-21
    2.12489e+00	    0.00000e+00	    1.09942e-05	    4.30027e-22	   -2.07600e-05	   -2.48185e-21	    1.33052e-21	   -3.02779e-21	   -2.78576e-05	   -9.62774e-22
    2.19820e+00	    0.00000e+00	    6.99023e-06	    4.26723e-22	   -1.42273e-05	   -1.30803e-21	    4.65681e-21	   -1.45283e-21	   -1.83056e-05	   -1.07302e-21
    2.27578e+00	    0.00000e+00	    4.32555e-06	    1.69616e-22	   -9.50244e-06	   -9.72016e-22	    3.49261e-21	   -1.20552e-21	   -1.17161e-05	   -4.59078e-22
    2.35807e+00	    0.00000e+00	    2.59826e-06	    1.37878e-22	   -6.17006e-06	   -8.49792e-22	    6.65258e-22	   -9.07198e-22	   -7.28516e-06	   -4.66163e-22
    2.44554e+00	    0.00000e+00	    1.51050e-06	    7.76483e-23	   -3.88374e-06	   -4.20169e-22	    5.82101e-22	   -4.65709e-22	   -4.38815e-06	   -2.76746e-22
    2.53871e+00	    0.00000e+00	    8.46970e-07	    3.42416e-23	   -2.36209e-06	   -2.33125e-22	    1.66315e-22	   -3.15256e-22	   -2.55186e-06	   -1.38246e-22
    2.63821e+00	    0.00000e+00	    4.56290e-07	    2.28462e-23	   -1.38298e-06	   -1.67105e-22	    2.07893e-22	   -1.88082e-22	   -1.42730e-06	   -5.11427e-23
    2.74473e+00	    0.00000e+00	    2.35134e-07	    9.57011e-24	   -7.76190e-07	   -7.56276e-23	    1.66315e-22	   -8.69741e-23	   -7.64487e-07	   -3.68949e-23
    2.85909e+00	    0.00000e+00	    1.15299e-07	    6.05549e-24	   -4.15501e-07	   -6.22582e-23	   -1.03947e-23	   -6.50904e-23	   -3.90122e-07	   -2.12202e-23
    2.98223e+00	    0.00000e+00	    5.34818e-08	    3.20291e-24	   -2.10940e-07	   -2.55587e-23	    5.19733e-23	   -3.00857e-23	   -1.88575e-07	   -9.86552e-24
    3.11524e+00	    0.00000e+00	    2.33028e-08	    1.77675e-24	   -1.00877e-07	   -1.27777e-23	    2.59866e-24	   -1.31679e-23	   -8.57491e-08	   -4.29178e-24
    3.25941e+00	    0.00000e+00	    9.45983e-09	    5.85675e-25	   -4.50859e-08	   -6.16091e-24	    2.59866e-24	   -5.82131e-24	   -3.63869e-08	   -2.01665e-24
    3.41626e+00	    0.00000e+00	    3.54365e-09	    1.47152e-25	   -1.86579e-08	   -2.30255e-24	    1.62417e-24	   -1.86852e-24	   -1.42730e-08	   -7.83735e-25
    3.58761e+00	    0.00000e+00	    1.21079e-09	    4.41294e-26	   -7.06922e-09	   -6.83317e-25	    1.78658e-24	   -1.01591e-24	   -5.11658e-09	   -2.63085e-25

    6.46257e-03	    3.23237e-02	    1.75050e+00	    1.09108e-04	    9.88990e-02	    5.01123e-06	   -1.53889e-04	    3.34065e-06	   -5.99166e-02	    4.21344e-05
    1.93899e-02	    3.23237e-02	    1.73519e+00	    5.10977e-04	    9.80811e-02	    4.43353e-05	   -1.52145e-04	    2.95550e-05	   -6.75080e-02	    2.61452e-04
    3.23237e-02	    3.23237e-02	    1.70761e+00	    1.36777e-03	    9.64855e-02	    1.19096e-04	   -1.48780e-04	    7.93926e-05	   -8.12822e-02	    6.68263e-04
    4.52683e-02	    3.23237e-02	    1.66805e+00	    2.54086e-03	    9.41869e-02	    2.22418e-04	   -1.44025e-04	    1.48271e-04	   -9.99469e-02	    1.15977e-03
    5.82280e-02	    3.23237e-02	    1.61838e+00	    3.92350e-03	    9.12830e-02	    3.45865e-04	   -1.38161e-04	    2.30566e-04	   -1.21621e-01	    1.63865e-03
    7.12073e-02	    3.23237e-02	    1.56068e+00	    5.40811e-03	    8.78831e-02	    4.80865e-04	   -1.31474e-04	    3.20563e-04	   -1.44442e-01	    2.02607e-03
    8.42105e-02	    3.23237e-02	    1.49703e+00	    6.90072e-03	    8.40975e-02	    6.19759e-04	   -1.24230e-04	    4.13160e-04	   -1.66816e-01	    2.27414e-03
    9.72420e-02	    3.23237e-02	    1.42935e+00	    8.32807e-03	    8.00294e-02	    7.56389e-04	   -1.16642e-04	    5.04242e-04	   -1.87547e-01	    2.36618e-03
    1.10306e-01	    3.23237e-02	    1.35934e+00	    9.63894e-03	    7.57710e-02	    8.86162e-04	   -1.08870e-04	    5.90757e-04	   -2.05852e-01	    2.30946e-03
    1.23408e-01	    3.23237e-02	    1.28837e+00	    1.08027e-02	    7.14008e-02	    1.00594e-03	   -1.01058e-04	    6.70613e-04	   -2.21310e-01	    2.12583e-03
    1.36552e-01	    3.23237e-02	    1.21759e+00	    1.18044e-02	    6.69843e-02	    1.11379e-03	   -9.32714e-05	    7.42510e-04	   -2.33782e-01	    1.84336e-03
    1.49741e-01	    3.23237e-02	    1.14784e+00	    1.26408e-02	    6.25749e-02	    1.20860e-03	   -8.55828e-05	    8.05716e-04	   -2.43324e-01	    1.49035e-03
    1.62983e-01	    3.23237e-02	    1.07977e+00	    1.33168e-02	    5.82151e-02	    1.28997e-03	   -7.80320e-05	    8.59961e-04	   -2.50118e-01	    1.09255e-03
    1.76280e-01	    3.23237e-02	    1.01386e+00	    1.38421e-02	    5.39383e-02	    1.35784e-03	   -7.06331e-05	    9.05211e-04	   -2.54412e-01	    6.70885e-04
    1.89637e-01	    3.23237e-02	    9.50409e-01	    1.42286e-02	    4.97707e-02	    1.41255e-03	   -6.34268e-05	    9.41682e-04	   -2.56485e-01	    2.42365e-04
    2.03061e-01	    3.23237e-02	    8.89629e-01	    1.44900e-02	    4.57322e-02	    1.45454e-03	   -5.64156e-05	    9.69677e-04	   -2.56622e-01	   -1.80727e-04
    2.16555e-01	    3.23237e-02	    8.31634e-01	    1.46398e-02	    4.18379e-02	    1.48441e-03	   -4.96287e-05	    9.89586e-04	   -2.55093e-01	   -5.89181e-04
    2.30125e-01	    3.23237e-02	    7.76474e-01	    1.46907e-02	    3.80988e-02	    1.50280e-03	   -4.30635e-05	    1.00184e-03	   -2.52150e-01	   -9.77010e-04
    2.43776e-01	    3.23237e-02	    7.24148e-01	    1.46549e-02	    3.45227e-02	    1.51041e-03	   -3.67336e-05	    1.00692e-03	   -2.48021e-01	   -1.33992e-03
    2.57513e-01	    3.23237e-02	    6.74619e-01	    1.45439e-02	    3.11150e-02	    1.50798e-03	   -3.06628e-05	    1.00529e-03	   -2.42907e-01	   -1.67565e-03
    2.71342e-01	    3.23237e-02	    6.27826e-01	    1.43676e-02	    2.78788e-02	    1.49622e-03	   -2.48329e-05	    9.97453e-04	   -2.36987e-01	   -1.98306e-03
    2.85268e-01	    3.23237e-02	    5.83688e-01	    1.41351e-02	    2.48156e-02	    1.47583e-03	   -1.92833e-05	    9.83863e-04	   -2.30415e-01	   -2.26144e-03
    2.99297e-01	    3.23237e-02	    5.42113e-01	    1.38550e-02	    2.19255e-02	    1.44759e-03	   -1.40156e-05	    9.65031e-04	   -2.23326e-01	   -2.51139e-03
    3.13435e-01	    3.23237e-02	    5.03000e-01	    1.35344e-02	    1.92075e-02	    1.41218e-03	   -9.02066e-06	    9.41424e-04	   -2.15837e-01	   -2.73312e-03
    3.27689e-01	    3.23237e-02	    4.66245e-01	    1.31798e-02	    1.66596e-02	    1.37030e-03	   -4.32728e-06	    9.13507e-04	   -2.08049e-01	   -2.92784e-03
    3.42063e-01	    3.23237e-02	    4.31742e-01	    1.27972e-02	    1.42790e-02	    1.32267e-03	    6.00898e-08	    8.81754e-04	   -2.00049e-01	   -3.09639e-03
    3.56565e-01	    3.23237e-02	    3.99384e-01	    1.23919e-02	    1.20625e-02	    1.26995e-03	    4.15237e-06	    8.46612e-04	   -1.91910e-01	   -3.24001e-03
    3.71202e-01	    3.23237e-02	    3.69066e-01	    1.19684e-02	    1.00059e-02	    1.21282e-03	    7.91767e-06	    8.08525e-04	   -1.83696e-01	   -3.35993e-03
    3.85979e-01	    3.23237e-02	    3.40685e-01	    1.15309e-02	    8.10518e-03	    1.15193e-03	    1.13679e-05	    7.67934e-04	   -1.75464e-01	   -3.45729e-03
    4.00905e-01	    3.23237e-02	    3.14141e-01	    1.10831e-02	    6.35544e-03	    1.08789e-03	    1.45004e-05	    7.25248e-04	   -1.67259e-01	   -3.53337e-03
    4.15987e-01	    3.23237e-02	    2.89338e-01	    1.06282e-02	    4.75169e-03	    1.02134e-03	    1.73052e-05	    6.80884e-04	   -1.59123e-01	   -3.58945e-03
    4.31231e-01	    3.23237e-02	    2.66181e-01	    1.01694e-02	    3.28868e-03	    9.52859e-04	    1.97948e-05	    6.35232e-04	   -1.51089e-01	   -3.62661e-03
    4.46646e-01	    3.23237e-02	    2.44581e-01	    9.70908e-03	    1.96095e-03	    8.83007e-04	    2.19610e-05	    5.88674e-04	   -1.43188e-01	   -3.64616e-03
    4.62241e-01	    3.23237e-02	    2.24452e-01	    9.24971e-03	    7.62881e-04	    8.12340e-04	    2.38082e-05	    5.41568e-04	   -1.35444e-01	   -3.64923e-03
    4.78022e-01	    3.23237e-02	    2.05712e-01	    8.79327e-03	   -3.11278e-04	    7.41374e-04	    2.53485e-05	    4.94257e-04	   -1.27878e-01	   -3.63690e-03
    4.94000e-01	    3.23237e-02	    1.88282e-01	    8.34186e-03	   -1.26738e-03	    6.70597e-04	    2.65836e-05	    4.47079e-04	   -1.20507e-01	   -3.61032e-03
    5.10184e-01	    3.23237e-02	    1.72088e-01	    7.89684e-03	   -2.11131e-03	    6.00476e-04	    2.75125e-05	    4.00342e-04	   -1.13347e-01	   -3.57053e-03
    5.26582e-01	    3.23237e-02	    1.57058e-01	    7.45974e-03	   -2.84899e-03	    5.31455e-04	    2.81649e-05	    3.54336e-04	   -1.06410e-01	   -3.51861e-03
    5.43205e-01	    3.23237e-02	    1.43123e-01	    7.03188e-03	   -3.48640e-03	    4.63930e-04	    2.85357e-05	    3.09327e-04	   -9.97060e-02	   -3.45560e-03
    5.60063e-01	    3.23237e-02	    1.30219e-01	    6.61443e-03	   -4.02950e-03	    3.98271e-04	    2.86523e-05	    2.65561e-04	   -9.32417e-02	   -3.38251e-03
    5.77167e-01	    3.23237e-02	    1.18284e-01	    6.20823e-03	   -4.48417e-03	    3.34826e-04	    2.85061e-05	    2.23274e-04	   -8.70235e-02	   -3.30030e-03
    5.94528e-01	    3.23237e-02	    1.07260e-01	    5.81416e-03	   -4.85628e-03	    2.73905e-04	    2.81428e-05	    1.82665e-04	   -8.10557e-02	   -3.20993e-03
    6.12158e-01	    3.23237e-02	    9.70908e-02	    5.43297e-03	   -5.15165e-03	    2.15772e-04	    2.75479e-05	    1.43920e-04	   -7.53410e-02	   -3.11241e-03
    6.30069e-01	    3.23237e-02	    8.77228e-02	    5.06521e-03	   -5.37598e-03	    1.60680e-04	    2.67605e-05	    1.07193e-04	   -6.98808e-02	   -3.00859e-03
    6.48274e-01	    3.23237e-02	    7.91056e-02	    4.71130e-03	   -5.53492e-03	    1.08829e-04	    2.57975e-05	    7.26329e-05	   -6.46754e-02	   -2.89937e-03
    6.66787e-01	    3.23237e-02	    7.11915e-02	    4.37175e-03	   -5.63393e-03	    6.03883e-05	    2.46791e-05	    4.03440e-05	   -5.97239e-02	   -2.78563e-03
    6.85622e-01	    3.23237e-02	    6.39347e-02	    4.04674e-03	   -5.67841e-03	    1.55021e-05	    2.34081e-05	    1.04211e-05	   -5.50246e-02	   -2.66822e-03
